ProjectID,ProjectDuration,TotalSpent,TotalBudget,CPI,StartingDate,FinishDate,ProjectYear,WorkTypeId,ProjectCategoryId,ProjectTypeId,City,ProjectAreaCode,ProjectDirectors,ClientName,AreaName,CountryName,MainDesignOffice,Budgetspentpercentage
2985,20,9476.7,68922,0.69,NULL,NULL,2007,3,2,1,NA,71,Bashar Rihani,NULL,Angola,Angola,NULL,13.75
2986,90,33256.25,31994,1.15,NULL,NULL,2007,3,2,1,NA,71,Bashar Rihani,NULL,Angola,Angola,NULL,103.95
2986,100,34264.5,31994,1.07,NULL,NULL,2007,3,2,1,NA,71,Bashar Rihani,NULL,Angola,Angola,NULL,107.1
2986,30,211,31994,0.02,NULL,NULL,2007,3,2,1,NA,71,Bashar Rihani,NULL,Angola,Angola,NULL,0.66
2986,40,3821.25,31994,0.3,NULL,NULL,2007,3,2,1,NA,71,Bashar Rihani,NULL,Angola,Angola,NULL,11.94
2986,50,10316.25,31994,0.64,NULL,NULL,2007,3,2,1,NA,71,Bashar Rihani,NULL,Angola,Angola,NULL,32.24
2986,60,18244.5,31994,0.95,NULL,NULL,2007,3,2,1,NA,71,Bashar Rihani,NULL,Angola,Angola,NULL,57.02
2986,70,26079,31994,1.16,NULL,NULL,2007,3,2,1,NA,71,Bashar Rihani,NULL,Angola,Angola,NULL,81.51
2986,80,32012.75,31994,1.25,NULL,NULL,2007,3,2,1,NA,71,Bashar Rihani,NULL,Angola,Angola,NULL,100.06
2986,10,8,31994,0,NULL,NULL,2007,3,2,1,NA,71,Bashar Rihani,NULL,Angola,Angola,NULL,0.03
2986,20,8,31994,0,NULL,NULL,2007,3,2,1,NA,71,Bashar Rihani,NULL,Angola,Angola,NULL,0.03
2987,70,42836.25,NULL,0,NULL,NULL,NULL,1,2,1,,70,Bashar Rihani,HOUSING AND URBAN DEVELOPMENT COMMITTEE (HUDC),Bahrain,Bahrain,38,0
2987,80,42872.25,NULL,0,NULL,NULL,NULL,1,2,1,,70,Bashar Rihani,HOUSING AND URBAN DEVELOPMENT COMMITTEE (HUDC),Bahrain,Bahrain,38,0
2987,90,43047,NULL,0,NULL,NULL,NULL,1,2,1,,70,Bashar Rihani,HOUSING AND URBAN DEVELOPMENT COMMITTEE (HUDC),Bahrain,Bahrain,38,0
2987,100,43097.75,NULL,0,NULL,NULL,NULL,1,2,1,,70,Bashar Rihani,HOUSING AND URBAN DEVELOPMENT COMMITTEE (HUDC),Bahrain,Bahrain,38,0
2987,10,7780.25,NULL,0,NULL,NULL,NULL,1,2,1,,70,Bashar Rihani,HOUSING AND URBAN DEVELOPMENT COMMITTEE (HUDC),Bahrain,Bahrain,38,0
